#T	V1	V3	V2	V4	I(V0)	I(V1DUMMY)	I(V2DUMMY)
6.208138656871562411e-01	-1.000000000000000000e+01	-9.501967708216389141e+00	-9.501967708216389141e+00	-9.501967708216389141e+00	-1.660107740278602708e-04	1.130797858038787599e-04	5.293096862202175280e-05
6.308138656871562500e-01	-1.000000000000000000e+01	-9.525459793412622389e+00	-9.525459793412622389e+00	-9.525459793412622389e+00	-1.581800787624694808e-04	1.077458340681474537e-04	5.043422526884980999e-05
6.408138656871562588e-01	-1.000000000000000000e+01	-9.547843761372879712e+00	-9.547843761372879712e+00	-9.547843761372879712e+00	-1.507187563090296885e-04	1.026634838315911003e-04	4.805525282960332247e-05
6.508138656871562677e-01	-1.000000000000000000e+01	-9.569171881778563815e+00	-9.569171881778563815e+00	-9.569171881778563815e+00	-1.436093826404886032e-04	9.782086709886457455e-05	4.578849607244008673e-05
6.608138656871562766e-01	-1.000000000000000000e+01	-9.589493958760046510e+00	-9.589493958760046510e+00	-9.589493958760046510e+00	-1.368353571799743726e-04	9.320667568572968637e-05	4.362866180475944838e-05
6.708138656871562855e-01	-1.000000000000000000e+01	-9.608857447196243129e+00	-9.608857447196243129e+00	-9.608857447196243129e+00	-1.303808608345957535e-04	8.881013481286688231e-05	4.157070651285935543e-05
6.808138656871562944e-01	-1.000000000000000000e+01	-9.627307563528363588e+00	-9.627307563528363588e+00	-9.627307563528363588e+00	-1.242308222572019102e-04	8.462097794525834252e-05	3.960982458464409574e-05
6.908138656871563033e-01	-1.000000000000000000e+01	-9.644887391346605554e+00	-9.644887391346605554e+00	-9.644887391346605554e+00	-1.183708794511415159e-04	8.062942281842402090e-05	3.774143708781836892e-05
7.008138656871563121e-01	-1.000000000000000000e+01	-9.661637981996324953e+00	-9.661637981996324953e+00	-9.661637981996324953e+00	-1.127873494345483027e-04	7.682614859544872985e-05	3.596118107747000458e-05
7.108138656871563210e-01	-1.000000000000000000e+01	-9.677598450438640754e+00	-9.677598450438640754e+00	-9.677598450438640754e+00	-1.074671930871297875e-04	7.320227410155294608e-05	3.426489940796710539e-05
7.208138656871563299e-01	-1.000000000000000000e+01	-9.692806066589323422e+00	-9.692806066589323422e+00	-9.692806066589323422e+00	-1.023979879035490613e-04	6.974933708528825672e-05	3.264863102546314115e-05
7.308138656871563388e-01	-1.000000000000000000e+01	-9.707296342349238216e+00	-9.707296342349238216e+00	-9.707296342349238216e+00	-9.756789578359731938e-05	6.645927445801703157e-05	3.110860171827281096e-05
7.408138656871563477e-01	-1.000000000000000000e+01	-9.721103114529567435e+00	-9.721103114529567435e+00	-9.721103114529567435e+00	-9.296563859013417023e-05	6.332440346545935772e-05	2.964121530358050237e-05
7.508138656871563565e-01	-1.000000000000000000e+01	-9.734258623865475357e+00	-9.734258623865475357e+00	-9.734258623865475357e+00	-8.858046861151821030e-05	6.033740374745314941e-05	2.824304522979502778e-05
7.608138656871563654e-01	-1.000000000000000000e+01	-9.746793590302727850e+00	-9.746793590302727850e+00	-9.746793590302727850e+00	-8.440214666574706159e-05	5.749130024378567362e-05	2.691082657517694800e-05
7.708138656871563743e-01	-1.000000000000000000e+01	-9.758737284733026485e+00	-9.758737284733026485e+00	-9.758737284733026485e+00	-8.042091498900159105e-05	5.477944690657324299e-05	2.564144842367986575e-05
7.808138656871563832e-01	-1.000000000000000000e+01	-9.770117597345626237e+00	-9.770117597345626237e+00	-9.770117597345626237e+00	-7.662747765144816239e-05	5.219551118072106110e-05	2.443194660061833858e-05
7.908138656871563921e-01	-1.000000000000000000e+01	-9.780961102754799796e+00	-9.780961102754799796e+00	-9.780961102754799796e+00	-7.301297564841020468e-05	4.973345921660076683e-05	2.327949675083725725e-05
8.008138656871564010e-01	-1.000000000000000000e+01	-9.791293122055272136e+00	-9.791293122055272136e+00	-9.791293122055272136e+00	-6.956896941489966782e-05	4.738754178010939455e-05	2.218140774350578853e-05
8.108138656871564098e-01	-1.000000000000000000e+01	-9.801137781950496120e+00	-9.801137781950496120e+00	-9.801137781950496120e+00	-6.628741591651150171e-05	4.515228082744327404e-05	2.113511538792001363e-05
8.208138656871564187e-01	-1.000000000000000000e+01	-9.810518071091864911e+00	-9.810518071091864911e+00	-9.810518071091864911e+00	-6.316065306936820842e-05	4.302245671308519982e-05	2.013817644577411500e-05
8.308138656871564276e-01	-1.000000000000000000e+01	-9.819455893760412835e+00	-9.819455893760412835e+00	-9.819455893760412835e+00	-6.018137864653919761e-05	4.099309600124674573e-05	1.918826292582581882e-05
8.408138656871564365e-01	-1.000000000000000000e+01	-9.827972121016362195e+00	-9.827972121016362195e+00	-9.827972121016362195e+00	-5.734263642786926139e-05	3.905945985211995152e-05	1.828315664778601830e-05
8.508138656871564454e-01	-1.000000000000000000e+01	-9.836086639435951184e+00	-9.836086639435951184e+00	-9.836086639435951184e+00	-5.463779675469257610e-05	3.721703295610867361e-05	1.742074406248672619e-05
8.608138656871564542e-01	-1.000000000000000000e+01	-9.843818397549368271e+00	-9.843818397549368271e+00	-9.843818397549368271e+00	-5.206054425020036742e-05	3.546151298991999091e-05	1.659901131647157859e-05
8.708138656871564631e-01	-1.000000000000000000e+01	-9.851185450088193463e+00	-9.851185450088193463e+00	-9.851185450088193463e+00	-4.960485987061211973e-05	3.378880057003822248e-05	1.581603954937774203e-05
8.808138656871564720e-01	-1.000000000000000000e+01	-9.858205000145716213e+00	-9.858205000145716213e+00	-9.858205000145716213e+00	-4.726501005141791836e-05	3.219498968009012167e-05	1.507000041313184940e-05
8.908138656871564809e-01	-1.000000000000000000e+01	-9.864893439348559667e+00	-9.864893439348559667e+00	-9.864893439348559667e+00	-4.503553011715703830e-05	3.067635854976023769e-05	1.435915180249271309e-05
9.008138656871564898e-01	-1.000000000000000000e+01	-9.871266386133402904e+00	-9.871266386133402904e+00	-9.871266386133402904e+00	-4.291121472218908814e-05	2.922936096394400127e-05	1.368183378698840653e-05
9.108138656871564987e-01	-1.000000000000000000e+01	-9.877338722218206968e+00	-9.877338722218206968e+00	-9.877338722218206968e+00	-4.088710249394097047e-05	2.785061798183264409e-05	1.303646473475905990e-05
9.208138656871565075e-01	-1.000000000000000000e+01	-9.883124627353097935e+00	-9.883124627353097935e+00	-9.883124627353097935e+00	-3.895846764895730748e-05	2.653691004661455142e-05	1.242153761922781775e-05
9.308138656871565164e-01	-1.000000000000000000e+01	-9.888637612432058077e+00	-9.888637612432058077e+00	-9.888637612432058077e+00	-3.712080575599056544e-05	2.528516946737592938e-05	1.183561649996704952e-05
9.408138656871565253e-01	-1.000000000000000000e+01	-9.893890551042742842e+00	-9.893890551042742842e+00	-9.893890551042742842e+00	-3.536982641907568913e-05	2.409247325560292844e-05	1.127733316959148474e-05
9.508138656871565342e-01	-1.000000000000000000e+01	-9.898895709528103382e+00	-9.898895709528103382e+00	-9.898895709528103382e+00	-3.370144005730856023e-05	2.295603629960169637e-05	1.074538395880060210e-05
9.608138656871565431e-01	-1.000000000000000000e+01	-9.903664775630007355e+00	-9.903664775630007355e+00	-9.903664775630007355e+00	-3.211175155665454788e-05	2.187320486085774825e-05	1.023852669214170029e-05
9.708138656871565519e-01	-1.000000000000000000e+01	-9.908208885781732533e+00	-9.908208885781732533e+00	-9.908208885781732533e+00	-3.059704797276566467e-05	2.084145037722056668e-05	9.755577787326113855e-06
9.808138656871565608e-01	-1.000000000000000000e+01	-9.912538651113093735e+00	-9.912538651113093735e+00	-9.912538651113093735e+00	-2.915379306229192726e-05	1.985836355833626662e-05	9.295409491427000101e-06
9.908138656871565697e-01	-1.000000000000000000e+01	-9.916664182228917213e+00	-9.916664182228917213e+00	-9.916664182228917213e+00	-2.777861582370455502e-05	1.892164875961833382e-05	8.856947247411898393e-06
1.000813865687156579e+00	-1.000000000000000000e+01	-9.920595112818698880e+00	-9.920595112818698880e+00	-9.920595112818698880e+00	-2.646830582709010099e-05	1.802911862160987600e-05	8.439167184894771716e-06
